guvr_id,guvr_numero,guvr_nome,guvr_ativo,fk_gm_id
73,1,RECICLACASTRO,true,68
87,3,FRANCISCO BELTRÃO - UVR 03,true,85
76,1,ATALAIA - UVR 01,true,95
20,1,ASSIS CHATEAUBRIAND - UVR 01,true,3
89,1,JAGUARIAÍVA - UVR 01,true,108
90,1,JARDIM ALEGRE - UVR 01,true,105
3,1,ALTÔNIA - UVR 01,true,1
77,1,BARRACÃO - UVR 01,true,90
80,1,CAMBARA - UVR 01,true,116
81,1,CAMPO MAGRO - UVR 01,true,82
74,1,ALTO PARANÁ - UVR 01,true,70
82,1,CAPANEMA - UVR 01,true,107
79,1,BORRAZÓPOLIS - UVR 01,true,97
83,1,COLORADO - UVR 01,true,113
85,2,FRANCISCO BELTRÃO - UVR 02,true,85
84,1,CRUZEIRO DO SUL - UVR 01,true,71
86,1,FRANCISCO BELTRÃO - UVR 01,true,85
88,1,IBAITI - UVR 01,true,96
91,1,KALORÉ - UVR 01,true,115
92,1,LARANJEIRAS DO SUL - UVR 01,true,112
93,1,MANDAGUAÇU - UVR 01,true,117
94,1,MANDAGUARI - UVR 01,true,69
95,1,MATO RICO - UVR 01,true,87
96,1,NOVA TEBAS - UVR 01,true,104
97,1,PARAÍSO DO NORTE - UVR 01,true,109
98,1,PRESIDENTE CASTELO BRANCO - UVR 01,true,74
99,1,QUEDAS DO IGUAÇU - UVR 01,true,72
100,1,RIBEIRÃO CLARO - UVR 01,true,92
101,1,RIO NEGRO - UVR 01,true,89
102,1,SANTA MARIA DO OESTE - UVR 01,true,79
103,1,SANTA MARIANA - UVR 01,true,99
75,1,APUCARANA - UVR 01,true,110
41,2,CASCAVEL - UVR 02 - CAREMEL,true,10
39,1,ANAHY - UVR 01,true,2
28,1,BRAGANEY - UVR 01,true,5
16,1,BOA VISTA DA APARECIDA - UVR 01,true,4
29,1,BRASILÂNDIA DO SUL - UVR 01,true,6
30,1,CAFELÂNDIA - UVR 01,true,7
60,1,CAMPO BONITO - UVR 01,true,8
18,1,CAPITÃO LEONIDAS MARQUES - UVR 01,true,9
43,4,CASCAVEL - UVR 04 - CASCAVEL VELHO,true,10
42,3,CASCAVEL - UVR 03 - SANTA CRUZ,true,10
47,6,CASCAVEL - UVR 06 - QUEBEC,true,10
44,5,CASCAVEL - UVR 05 - BRASÍLIA,true,10
57,1,CASCAVEL - UVR 01 - MANAUS,true,10
17,1,CATANDUVAS - UVR 01,true,11
61,1,CÉU AZUL - UVR 01,true,12
24,1,CORBÉLIA - UVR 01,true,13
27,1,DIAMANTE D'OESTE - UVR 01,true,14
1,1,DIAMANTE DO SUL - UVR 01,true,15
8,5,FOZ DO IGUAÇU - UVR 05,true,18
26,1,FORMOSA DO OESTE - UVR 01,true,17
59,7,FOZ DO IGUAÇU - UVR 07,true,18
9,1,FOZ DO IGUAÇU - UVR 01,true,18
58,6,FOZ DO IGUAÇU - UVR 06,true,18
25,1,FRANCISCO ALVES - UVR 01,true,19
62,2,FOZ DO IGUAÇU - UVR 02,true,18
63,8,FOZ DO IGUAÇU - UVR 08,true,18
37,1,ENTRE RIOS DO OESTE - UVR 01,true,16
7,4,FOZ DO IGUAÇU - UVR 04,true,18
66,3,FOZ DO IGUAÇU - UVR 03,true,18
68,1,GUAIRA - UVR 01,true,20
40,1,GUARANIACU - UVR 01,true,21
46,1,IBEMA - UVR 01,true,22
33,1,IGUATU - UVR 01,true,23
50,1,IRACEMA DO OESTE - UVR 01,true,24
45,1,ITAIPULÂNDIA - UVR 01,true,25
14,1,JESUÍTAS - UVR 01,true,26
48,1,LINDOESTE - UVR 01,true,27
71,1,BELÉM - UVR 01 - ARAL,true,67
64,1,MARIPA - UVR 01,true,29
56,1,MATELÂNDIA - UVR 01,true,30
51,1,MEDIANEIRA - UVR 01,true,31
54,1,MERCEDES - UVR 01,true,32
19,1,MISSAL - UVR 01,true,33
55,1,MUNDO NOVO - UVR 01,true,34
4,1,NOVA AURORA - UVR 01,true,35
36,1,NOVA SANTA ROSA - UVR 01,true,36
52,1,OURO VERDE DO OESTE - UVR 01,true,37
23,1,PALOTINA - UVR 01,true,38
53,1,RAMILÂNDIA - UVR 01,true,41
11,1,PATO BRAGADO - UVR 01,true,39
2,1,QUATRO PONTES - UVR 01,true,40
12,1,SANTA HELENA - UVR 01,true,42
49,1,SANTA LÚCIA - UVR 01,true,43
22,1,SANTA TEREZA DO OESTE - UVR 01,true,44
35,1,SANTA TEREZINHA DE ITAIPU - UVR 01,true,45
21,1,SÃO JOSE DAS PALMEIRAS - UVR 01,true,46
32,1,SÃO MIGUEL DO IGUAÇU - UVR 01,true,47
34,1,SÃO PEDRO DO IGUAÇU - UVR 01,true,48
38,1,SERRANOPOLIS DO IGUAÇU - UVR 01,true,49
15,1,TERRA ROXA - UVR 01,true,50
5,1,TOLEDO - UVR 01,true,51
67,1,TRES BARRAS DO PARANA - UVR 01,true,52
13,1,TUPASSI - UVR 01,true,53
10,1,UBIRATA - UVR 01,true,54
6,1,VERA CRUZ DO OESTE - UVR 01,true,55
31,2,MARECHAL CANDIDO RONDON - UVR 02,true,28
65,1,MARECHAL CANDIDO RONDON - UVR 01,true,28
104,1,SÃO JOÃO DO TRIUNFO - UVR 01,true,98
105,1,TIJUCAS DO SUL - UVR 01,true,106
106,1,RESERVA DO IGUAÇU - UVR 01,true,77
107,1,AMAPORÃ - UVR 01,true,80
108,1,CAMPINA DA LAGOA - UVR 01,true,101
109,1,CAMPO LARGO - UVR 01,true,84
110,3,CAMPO LARGO - UVR 03,true,84
111,2,CAMPO LARGO - UVR 02,true,84
112,5,CAMPO LARGO - UVR 05,true,84
113,4,CAMPO LARGO - UVR 04,true,84
114,1,CORONEL VIVIDA - UVR 01,true,111
115,1,CERRO AZUL - UVR 01,true,76
116,1,ENÉAS MARQUES - UVR 01,true,75
117,1,GENERAL CARNEIRO - UVR 01,true,114
118,1,JAGUAPITÃ - UVR 01,true,78
119,1,LAPA - UVR 01,true,103
120,1,MARMELEIRO - UVR 01,true,91
121,1,ORTIGUEIRA - UVR 01,true,118
122,1,PALMITAL - UVR 01,true,102
123,1,SÃO JOÃO DO IVAÍ - UVR 01,true,81
124,1,REALEZA - UVR 01,true,86
125,1,RIO BRANCO DO SUL - UVR 01,true,93
126,2,RIO BRANCO DO SUL - UVR 02,true,93
127,1,SALGADO FILHO - UVR 01,true,94
128,1,SANTA MÔNICA - UVR 01,true,73
129,1,SANTANA DO ITARARÉ - UVR 01,true,100
130,1,SÃO JOÃO - UVR 01,true,88
131,1,SÃO JOÃO DO CAIUÁ - UVR 01,true,83
132,9,FOZ DO IGUAÇU - UVR 09,true,18
133,1,ALTO PIQUIRI - UVR 01,true,123
134,1,AMAMBAI - UVR 01,true,134
135,1,ARAL MOREIRA - UVR 01,true,128
136,1,CAARAPÓ - UVR 01,true,135
137,1,CAFEZAL DO SUL - UVR 01,true,127
138,1,CORONEL SAPUCAIA - UVR 01,true,146
139,1,DOURADINA - UVR 01,true,122
140,1,ICARAÍMA - UVR 01,true,145
141,1,IGUATEMI - UVR 01,true,129
142,1,IPORÃ - UVR 01,true,120
143,1,ITAQUIRAÍ - UVR 01,true,136
144,1,JUTI - UVR 01,true,138
145,1,MARIA HELENA - UVR 01,true,125
146,1,MARILUZ - UVR 01,true,137
147,1,NAVIRAÍ - UVR 01,true,142
148,1,NOVA OLIMPIA - UVR 01,true,121
149,1,PARANHOS - UVR 01,true,140
150,1,SETE QUEDAS - UVR 01,true,131
151,1,TACURU - UVR 01,true,126
152,1,SÃO JORGE DO PATROCINIO - UVR 01,true,130
153,1,UMUARAMA - UVR 01,true,133
154,1,CRUZEIRO DO OESTE - UVR 01,true,150
155,1,DIAMANTE DO NORTE - UVR 01,true,152
156,1,ITAUNA DO SUL - UVR 01,true,160
157,1,LOANDA - UVR 01,true,149
158,1,MARILENA - UVR 01,true,157
159,1,NOVA LONDRINA - UVR 01,true,151
160,1,PLANALTINA DO PARANÁ - UVR 01,true,153
161,1,PLANALTO - UVR 01,true,147
162,1,PORTO RICO - UVR 01,true,155
163,1,QUERENCIA DO NORTE - UVR 01,true,161
164,1,SANTA CRUZ DO MONTE CASTELO - UVR 01,true,156
165,1,SANTA ISABEL DO IVAI - UVR 01,true,162
166,1,SANTO ANTONIO DO SUDOESTE - UVR 01,true,159
167,1,XAMBRE - UVR 01,true,139
168,1,ELDORADO - UVR 01,true,124
169,1,JAPORÃ - UVR 01,true,141
170,1,ESPERANÇA NOVA - UVR 01,true,143
171,1,PEROBAL - UVR 01,true,144
172,1,PÉROLA - UVR 01,true,132
173,1,SÃO PEDRO DO PARANÁ - UVR 01,true,158
174,1,ALTO PARAÍSO - UVR 01,true,163
175,1,IVATÉ - UVR 01,true,164
176,1,TAPIRA - UVR 01,true,165
70,2,BELÉM - UVR 02 - ACCSB,true,67
72,4,BELÉM - UVR 04 - FILHOS DO SOL,true,67
69,3,BELÉM - UVR 03 - CONCAVES,true,67
